rating,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6
4,-1.374996177,-2.770478437,-1.044152715,0.071139978,-0.10583938,0.54100558
5,-1.378870523,-2.692826176,-1.156946163,0.371171999,-0.067253036,0.137692686
5,-1.376284386,-2.778138273,-1.026855768,0.109035825,-0.219077343,0.211152759
5,-1.363395431,-2.820711475,-0.994872524,-0.202666277,-0.107756915,0.580902148
4,-1.334491888,-2.841758228,-0.991251425,-0.120353811,-0.226359639,0.261135934
5,-1.39007732,-2.714679942,-1.134957917,0.392151258,-0.184647776,0.058658481
1,-1.466256967,-2.602730178,-1.125924812,0.299666597,0.488284477,2.299006259
5,-1.421257904,-2.877859726,-0.776568757,-0.823910867,0.414028,2.214660028
4,-1.395169267,-2.631932185,-1.252559185,0.620153707,0.040080845,0.149138996
3,-1.359105666,-2.774859772,-1.057811949,0.088295122,-0.088954044,0.540625189
5,-1.384676881,-2.764460769,-1.031112154,0.070725594,-0.13407468,0.508402761
5,-1.350603362,-2.765647918,-1.09016674,0.157689989,-0.179287012,-0.005827053
5,-1.351478031,-2.759850236,-1.089950212,0.147995217,-0.155281191,0.120295955
5,-1.402701151,-2.612196818,-1.245407841,0.593234476,0.085833697,0.274636858
5,-1.374390276,-2.77354265,-1.073925417,0.112209522,-0.174496146,0.183673868
1,-1.387938435,-2.703080477,-1.081690626,0.254542257,0.130178181,1.196494991
5,-1.350065921,-2.83146132,-0.99862187,-0.147824132,-0.201342776,0.319671299
1,-1.364691766,-2.84593299,-0.905891468,-0.270410127,-0.028627607,1.435001439
5,-1.369619783,-2.74979711,-1.096137527,0.083377492,-0.047277129,0.406690781
5,-1.368040573,-2.835715859,-0.95738924,-0.18873415,-0.205825607,0.533903881
