rating,day_of_week,week_of_year,hour,month,yrs_to_review,lenDevResp,lenTitle,lenReview,ratings_per_yr_in_exist,app_rank_in_cat_per_yr_in_exist,BBB_complaints_per_yr_in_exist,BBB_complaints_per_BBB_review,len_review_per_len_title,Dev_resp_per_yr,DevLen_per_ReviewLen,ReviewLen_by_time_of_day,ReviewLen_by_day_of_week
5,1,42,21,10,7,0,7,600,94214.0,4.0,91.0,3.0,86.0,0.0,0.0,29.0,600.0
5,7,17,12,4,7,0,22,567,94214.0,4.0,91.0,3.0,26.0,0.0,0.0,47.0,81.0
2,3,8,21,2,8,808,40,720,82438.0,4.0,80.0,3.0,18.0,101.0,1.0,34.0,240.0
5,3,48,14,11,7,0,6,539,94214.0,4.0,91.0,3.0,90.0,0.0,0.0,38.0,180.0
4,2,11,17,3,7,0,50,593,94214.0,4.0,91.0,3.0,12.0,0.0,0.0,35.0,296.0
4,6,46,4,11,5,0,34,1043,131900.0,6.0,128.0,3.0,31.0,0.0,0.0,261.0,174.0
1,1,12,15,3,9,0,50,759,73278.0,3.0,71.0,3.0,15.0,0.0,0.0,51.0,759.0
3,6,6,18,2,9,0,7,647,73278.0,3.0,71.0,3.0,92.0,0.0,0.0,36.0,108.0
1,5,18,21,5,8,0,19,821,82438.0,4.0,80.0,3.0,43.0,0.0,0.0,39.0,164.0
5,6,22,13,6,7,0,28,550,94214.0,4.0,91.0,3.0,20.0,0.0,0.0,42.0,92.0
1,5,17,13,4,8,0,10,1211,82438.0,4.0,80.0,3.0,121.0,0.0,0.0,93.0,242.0
5,6,52,8,12,6,0,8,587,109917.0,5.0,106.0,3.0,73.0,0.0,0.0,73.0,98.0
1,3,29,2,7,7,0,14,772,94214.0,4.0,91.0,3.0,55.0,0.0,0.0,386.0,257.0
5,2,19,10,5,6,0,30,604,109917.0,5.0,106.0,3.0,20.0,0.0,0.0,60.0,302.0
4,4,25,15,6,6,0,17,617,109917.0,5.0,106.0,3.0,36.0,0.0,0.0,41.0,154.0
5,6,18,20,5,8,0,19,576,82438.0,4.0,80.0,3.0,30.0,0.0,0.0,29.0,96.0
5,6,6,0,2,8,0,30,522,82438.0,4.0,80.0,3.0,17.0,0.0,0.0,inf,87.0
5,4,4,7,1,7,0,11,603,94214.0,4.0,91.0,3.0,55.0,0.0,0.0,86.0,151.0
5,6,9,17,3,7,0,22,564,94214.0,4.0,91.0,3.0,26.0,0.0,0.0,33.0,94.0
1,6,51,22,12,6,0,11,793,109917.0,5.0,106.0,3.0,72.0,0.0,0.0,36.0,132.0
2,1,48,0,11,8,0,12,739,82438.0,4.0,80.0,3.0,62.0,0.0,0.0,inf,739.0
1,6,4,12,1,8,429,47,754,82438.0,4.0,80.0,3.0,16.0,54.0,1.0,63.0,126.0
5,4,6,5,2,7,0,40,536,94214.0,4.0,91.0,3.0,13.0,0.0,0.0,107.0,134.0
5,1,46,23,11,6,0,11,531,109917.0,5.0,106.0,3.0,48.0,0.0,0.0,23.0,531.0
5,5,38,17,9,6,0,36,552,109917.0,5.0,106.0,3.0,15.0,0.0,0.0,32.0,110.0
5,4,40,15,10,7,0,7,571,94214.0,4.0,91.0,3.0,82.0,0.0,0.0,38.0,143.0
2,2,34,16,8,6,323,47,723,109917.0,5.0,106.0,3.0,15.0,54.0,0.0,45.0,362.0
1,2,15,19,4,8,0,51,731,82438.0,4.0,80.0,3.0,14.0,0.0,0.0,38.0,366.0
1,7,11,22,3,8,0,22,1166,82438.0,4.0,80.0,3.0,53.0,0.0,0.0,53.0,167.0
1,2,43,1,10,7,0,7,798,94214.0,4.0,91.0,3.0,114.0,0.0,0.0,798.0,399.0
5,3,39,18,9,5,0,41,550,131900.0,6.0,128.0,3.0,13.0,0.0,0.0,31.0,183.0
5,1,41,20,10,7,0,28,514,94214.0,4.0,91.0,3.0,18.0,0.0,0.0,26.0,514.0
1,5,42,21,10,7,0,42,789,94214.0,4.0,91.0,3.0,19.0,0.0,0.0,38.0,158.0
5,1,17,23,4,7,0,32,543,94214.0,4.0,91.0,3.0,17.0,0.0,0.0,24.0,543.0
5,5,9,13,3,9,0,10,515,73278.0,3.0,71.0,3.0,52.0,0.0,0.0,40.0,103.0
1,7,38,17,9,6,0,27,787,109917.0,5.0,106.0,3.0,29.0,0.0,0.0,46.0,112.0
5,5,5,19,1,8,0,32,911,82438.0,4.0,80.0,3.0,28.0,0.0,0.0,48.0,182.0
1,2,8,23,2,8,368,30,742,82438.0,4.0,80.0,3.0,25.0,46.0,0.0,32.0,371.0
5,7,52,3,12,6,0,28,556,109917.0,5.0,106.0,3.0,20.0,0.0,0.0,185.0,79.0
1,5,27,17,7,7,0,34,774,94214.0,4.0,91.0,3.0,23.0,0.0,0.0,46.0,155.0
5,2,25,20,6,6,0,46,565,109917.0,5.0,106.0,3.0,12.0,0.0,0.0,28.0,282.0
4,4,42,9,10,6,0,35,601,109917.0,5.0,106.0,3.0,17.0,0.0,0.0,67.0,150.0
5,6,9,23,2,8,0,17,538,82438.0,4.0,80.0,3.0,32.0,0.0,0.0,23.0,90.0
1,6,17,3,4,6,196,24,771,109917.0,5.0,106.0,3.0,32.0,33.0,0.0,257.0,128.0
1,5,26,11,6,8,0,21,805,82438.0,4.0,80.0,3.0,38.0,0.0,0.0,73.0,161.0
1,1,22,19,5,8,0,42,714,82438.0,4.0,80.0,3.0,17.0,0.0,0.0,38.0,714.0
5,3,52,19,12,5,0,18,546,131900.0,6.0,128.0,3.0,30.0,0.0,0.0,29.0,182.0
5,5,44,12,11,6,0,34,572,109917.0,5.0,106.0,3.0,17.0,0.0,0.0,48.0,114.0
3,1,6,10,2,8,0,32,612,82438.0,4.0,80.0,3.0,19.0,0.0,0.0,61.0,612.0
2,1,7,15,2,9,0,9,1097,73278.0,3.0,71.0,3.0,122.0,0.0,0.0,73.0,1097.0
1,7,19,19,5,9,0,17,709,73278.0,3.0,71.0,3.0,42.0,0.0,0.0,37.0,101.0
